case	state	r_value	mass_mode	custom_mass_min_GeV	custom_mass_max_GeV	mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	2.5070000000e+01	4.4771382886e-26	1.1322039711e-26	1.0000000000e+00	1.9054960356e+00	6.7725179490e+01	3.8400932027e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	3.4610000000e+01	4.5710603627e-26	7.4293487807e-27	1.0000000000e+00	1.9226968557e+00	7.0721230715e+01	3.8401185668e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	4.7780000000e+01	3.6857534567e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400643627e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	6.5970000000e+01	4.3252830051e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401943811e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	9.1080000000e+01	9.1118607772e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402801191e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	1.2575000000e+02	2.6771894513e-25	1.6767865940e-26	1.0000000000e+00	1.9176007484e+00	7.1424095179e+01	3.8402472422e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	1.7361000000e+02	4.2161728247e-25	3.5385420638e-26	1.0000000000e+00	1.8588330744e+00	7.1300160049e+01	3.8405356232e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	2.2890000000e+02	1.5374914111e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400497997e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	3.1602000000e+02	8.6534942964e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400752074e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	4.3631000000e+02	8.6425183313e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400376400e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	6.0239000000e+02	1.1583000442e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401727850e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	8.3168000000e+02	1.8006073635e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400053255e+00
