L_kpc	mDM_GeV	R_GV	flux
1	7	2.20010252e+02	0.00000000e+00
1	7	2.23966814e+02	0.00000000e+00
1	7	2.27994529e+02	0.00000000e+00
1	7	2.32094677e+02	0.00000000e+00
1	7	2.36268560e+02	0.00000000e+00
1	7	2.40517504e+02	0.00000000e+00
1	7	2.44842859e+02	0.00000000e+00
1	7	2.49245999e+02	0.00000000e+00
1	7	2.53728323e+02	0.00000000e+00
1	7	2.58291255e+02	0.00000000e+00
1	7	2.62936245e+02	0.00000000e+00
1	7	2.67664768e+02	0.00000000e+00
1	7	2.72478327e+02	0.00000000e+00
1	7	2.77378450e+02	0.00000000e+00
1	7	2.82366696e+02	0.00000000e+00
1	7	2.87444647e+02	0.00000000e+00
1	7	2.92613918e+02	0.00000000e+00
1	7	2.97876150e+02	0.00000000e+00
1	7	3.03233017e+02	0.00000000e+00
1	7	3.08686218e+02	0.00000000e+00
1	7	3.14237488e+02	0.00000000e+00
1	7	3.19888588e+02	0.00000000e+00
1	7	3.25641316e+02	0.00000000e+00
1	7	3.31497498e+02	0.00000000e+00
1	7	3.37458995e+02	0.00000000e+00
1	7	3.43527701e+02	0.00000000e+00
1	7	3.49705543e+02	0.00000000e+00
1	7	3.55994485e+02	0.00000000e+00
1	7	3.62396524e+02	0.00000000e+00
1	7	3.68913695e+02	0.00000000e+00
1	7	3.75548067e+02	0.00000000e+00
1	7	3.82301749e+02	0.00000000e+00
1	7	3.89176886e+02	0.00000000e+00
1	7	3.96175662e+02	0.00000000e+00
1	7	4.03300301e+02	0.00000000e+00
1	7	4.10553066e+02	0.00000000e+00
1	7	4.17936262e+02	0.00000000e+00
1	7	4.25452233e+02	0.00000000e+00
1	7	4.33103368e+02	0.00000000e+00
1	7	4.40892098e+02	0.00000000e+00
1	7	4.48820896e+02	0.00000000e+00
1	7	4.56892282e+02	0.00000000e+00
1	7	4.65108821e+02	0.00000000e+00
1	7	4.73473122e+02	0.00000000e+00
1	7	4.81987842e+02	0.00000000e+00
1	7	4.90655687e+02	0.00000000e+00
